time, error
23.2942950726, -0.0299999988079
23.4057970047, -0.0299999988079
23.550383091, -0.0299999988079
23.6504979134, -0.0299999988079
23.7940399647, -0.0499999946356
23.9061250687, -0.0499999946356
24.0464789867, -0.0499999946356
24.1974210739, -0.0699999904633
24.3440029621, -0.0699999904633
24.4443640709, -0.0699999904633
24.5554599762, -0.0900000011921
24.69977808, -0.0900000011921
24.8441119194, -0.0900000011921
24.9445049763, -0.0900000011921
25.0601360798, -0.0900000011921
25.1994290352, -0.0900000011921
25.3548929691, -0.0900000011921
25.4549410343, -0.0900000011921
25.6019461155, -0.0900000011921
25.7439599037, -0.109999982119
25.8450388908, -0.109999982119
25.9984989166, -0.109999982119
26.1440050602, -0.109999982119
26.2561099529, -0.109999982119
26.3963661194, -0.109999982119
26.5439929962, -0.109999982119
